                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6117,                 2.7607,                 1.5566,                0.19635,                  0.326,                0.11622,                0.04388,                 2.4175,                 4.6914,                 1.9483,             0.00055552,             0.00055552,             0.00055552
                      2,                 1.6771,                 2.3967,                 1.6044,                0.21034,                0.35591,                0.13838,                0.04999,                 2.3879,                 3.5741,                  1.933,              0.0010892,              0.0010892,              0.0010892
                      3,                 1.6846,                 2.2445,                  1.619,                0.28765,                0.29274,                0.21066,                0.08355,                 2.3743,                 3.1123,                 1.8828,              0.0016008,              0.0016008,              0.0016008
                      4,                 1.6247,                 2.1135,                 1.5648,                0.30563,                0.39657,                0.20599,                0.08205,                 2.3219,                 3.0998,                 1.8811,               0.001568,               0.001568,               0.001568
                      5,                 1.5747,                 1.9765,                 1.5215,                0.48355,                0.35141,                0.28301,                0.12096,                 2.2124,                   2.64,                 1.8219,               0.001535,               0.001535,               0.001535
                      6,                 1.5172,                 1.8736,                 1.4975,                0.47282,                0.41291,                0.35718,                0.14549,                 2.1709,                 2.2373,                 1.7693,               0.001502,               0.001502,               0.001502
                      7,                  1.473,                 1.7802,                 1.4608,                0.35176,                0.36793,                0.29563,                 0.1173,                 2.1814,                 2.4251,                 1.7294,               0.001469,               0.001469,               0.001469
                      8,                 1.4385,                 1.7067,                 1.4489,                0.52084,                0.37341,                0.32831,                0.15388,                 2.0206,                 2.2822,                 1.6987,               0.001436,               0.001436,               0.001436
                      9,                 1.4241,                 1.6674,                 1.4349,                0.47492,                0.39855,                0.38437,                0.17673,                 2.0231,                 2.1182,                 1.6643,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.4178,                 1.6278,                 1.4266,                0.36531,                0.49991,                0.35123,                0.15931,                 2.0188,                 2.6465,                 1.6523,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.3776,                 1.5848,                  1.402,                0.48257,                 0.3891,                0.37195,                0.17312,                 2.0455,                 2.1976,                 1.6827,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.3691,                 1.5527,                 1.3887,                0.61531,                 0.3983,                 0.4493,                0.22501,                 1.9062,                 1.9912,                 1.5556,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.3537,                 1.5183,                 1.3819,                0.54291,                 0.4552,                0.43588,                0.21094,                 1.9807,                 1.9933,                 1.5908,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.3188,                 1.4756,                 1.3589,                0.50158,                0.52402,                0.45854,                0.21466,                 2.0002,                 2.2622,                 1.6412,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.3178,                 1.4517,                  1.358,                0.65231,                0.42666,                 0.4985,                0.22686,                 1.8986,                  1.966,                 1.5662,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.3092,                 1.4511,                 1.3502,                0.69692,                0.47009,                0.50149,                0.24467,                 1.9312,                 1.8665,                 1.5599,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.2872,                 1.3921,                 1.3421,                0.57325,                0.46265,                0.48443,                0.23619,                 1.9055,                 1.9414,                 1.5666,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.2799,                 1.3838,                  1.336,                0.67268,                0.44828,                0.51541,                0.24316,                 1.9123,                 1.8716,                 1.5471,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.2694,                 1.3627,                 1.3205,                0.63625,                0.47771,                0.51043,                0.24742,                 1.8962,                 1.8134,                 1.5487,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.2756,                 1.3447,                 1.3261,                0.75484,                0.44392,                0.55267,                0.27456,                 1.8731,                 1.8043,                 1.5477,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.2529,                 1.3205,                 1.3123,                0.70064,                0.47245,                0.54737,                0.27162,                 1.8607,                 1.7361,                 1.5832,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.2413,                 1.3017,                 1.3114,                0.67014,                0.49389,                0.54292,                0.25962,                 1.8377,                 1.8555,                 1.5137,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.2409,                 1.2939,                 1.3099,                0.70338,                0.48123,                0.56969,                0.27895,                 1.8788,                 1.7254,                 1.5607,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.2208,                 1.2622,                  1.299,                0.71375,                0.48158,                0.55504,                0.28035,                  1.878,                  1.724,                 1.5727,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.2282,                 1.2399,                 1.2972,                0.78553,                 0.5196,                0.62229,                0.31059,                 1.7952,                 1.5655,                 1.5011,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.1962,                 1.2245,                 1.2712,                0.67815,                0.55134,                0.60551,                0.29954,                 1.7971,                 1.6771,                 1.4838,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.2151,                 1.2353,                 1.2908,                0.67688,                  0.516,                0.56224,                 0.2774,                 1.7844,                 1.6781,                 1.4759,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.1962,                 1.2074,                 1.2762,                0.60762,                0.51909,                0.55911,                0.26436,                 1.8677,                 1.6271,                 1.5342,             0.00077582,             0.00077582,             0.00077582
